# !!! シミュレーションデータ / SIMULATED DATA !!!
# これは一様乱数で生成した架空の抽せん結果であり、実際のロト7の当せん番号ではない。
# 動作確認・バックテストの基準線としてのみ使用すること。
# 実データはみずほ銀行の公式サイトから取得し、`python -m loto7 import <csv>` で置き換える。
round,date,n1,n2,n3,n4,n5,n6,n7,b1,b2
1,2013-04-05,7,15,22,23,27,32,37,11,28
2,2013-04-12,1,2,4,8,20,28,29,11,30
3,2013-04-19,5,8,12,13,15,18,29,7,28
4,2013-04-26,15,16,27,28,31,35,37,4,18
5,2013-05-03,8,24,26,34,35,36,37,3,10
6,2013-05-10,7,9,15,18,22,34,35,8,13
7,2013-05-17,12,13,14,19,29,31,34,7,15
8,2013-05-24,2,10,13,16,30,31,32,1,29
9,2013-05-31,5,8,10,12,15,17,22,11,33
10,2013-06-07,15,17,18,21,31,32,33,3,25
11,2013-06-14,10,12,17,21,29,30,33,6,22
12,2013-06-21,1,2,3,11,14,19,26,13,15
13,2013-06-28,20,22,28,29,32,36,37,2,7
14,2013-07-05,5,8,11,12,18,21,25,14,16
15,2013-07-12,11,12,20,26,32,35,36,8,18
16,2013-07-19,6,12,18,21,23,24,26,4,9
17,2013-07-26,4,11,12,19,20,22,32,7,33
18,2013-08-02,6,9,18,21,24,31,33,7,34
19,2013-08-09,7,9,14,17,20,24,36,15,35
20,2013-08-16,3,7,8,11,24,26,35,12,21
21,2013-08-23,1,6,8,11,20,21,37,10,28
22,2013-08-30,4,8,18,25,27,31,33,13,34
23,2013-09-06,3,4,9,11,20,21,22,8,31
24,2013-09-13,3,4,20,21,25,28,37,16,18
25,2013-09-20,2,4,8,10,28,34,37,17,25
26,2013-09-27,6,7,21,25,26,29,37,3,33
27,2013-10-04,6,9,18,19,23,35,36,29,32
28,2013-10-11,1,7,9,16,23,29,36,15,18
29,2013-10-18,12,13,14,20,21,25,28,26,30
30,2013-10-25,1,3,13,16,27,36,37,25,30
31,2013-11-01,3,4,10,15,25,32,33,28,35
32,2013-11-08,1,9,13,21,33,35,36,12,37
33,2013-11-15,3,14,18,20,24,26,32,5,15
34,2013-11-22,2,3,4,7,21,23,29,11,34
35,2013-11-29,7,8,14,20,26,32,34,12,31
36,2013-12-06,3,10,14,18,19,27,36,7,25
37,2013-12-13,7,10,13,17,28,33,37,25,36
38,2013-12-20,7,10,12,13,15,17,35,23,29
39,2013-12-27,1,4,10,12,15,22,32,9,13
40,2014-01-03,11,18,30,32,33,34,37,13,31
41,2014-01-10,2,5,9,10,26,30,36,15,34
42,2014-01-17,3,17,18,23,27,28,30,6,22
43,2014-01-24,12,13,19,23,31,34,36,4,26
44,2014-01-31,3,4,5,7,13,19,22,27,31
45,2014-02-07,3,17,22,30,33,34,37,1,27
46,2014-02-14,1,4,14,20,21,25,30,10,33
47,2014-02-21,4,9,20,21,24,26,31,12,17
48,2014-02-28,6,10,17,19,21,27,28,15,22
49,2014-03-07,1,5,11,21,25,27,36,15,33
50,2014-03-14,5,14,16,20,21,28,32,11,27
51,2014-03-21,14,15,17,20,27,29,33,9,22
52,2014-03-28,8,13,16,21,22,26,37,23,31
53,2014-04-04,10,17,18,19,21,26,35,32,34
54,2014-04-11,10,12,17,20,24,27,33,11,23
55,2014-04-18,4,14,20,24,29,31,36,17,19
56,2014-04-25,5,6,7,14,15,21,36,16,25
57,2014-05-02,11,14,22,27,32,35,37,2,17
58,2014-05-09,5,13,15,16,21,34,35,22,31
59,2014-05-16,3,4,9,11,13,20,37,10,12
60,2014-05-23,1,7,12,14,26,32,36,2,23
61,2014-05-30,4,8,13,17,20,33,36,9,34
62,2014-06-06,2,4,11,12,16,23,36,26,30
63,2014-06-13,1,13,17,18,22,23,29,14,15
64,2014-06-20,2,9,12,26,28,31,35,6,29
65,2014-06-27,6,7,9,10,23,34,35,4,16
66,2014-07-04,8,10,14,24,26,31,37,13,34
67,2014-07-11,2,10,11,20,28,30,36,12,24
68,2014-07-18,3,15,17,22,27,29,30,18,36
69,2014-07-25,4,5,18,19,30,32,36,24,37
70,2014-08-01,12,13,15,17,32,33,37,21,35
71,2014-08-08,3,13,14,20,24,30,36,6,22
72,2014-08-15,4,5,11,19,21,28,37,16,25
73,2014-08-22,6,9,10,11,13,24,31,16,30
74,2014-08-29,3,7,15,16,21,35,36,1,28
75,2014-09-05,8,10,15,20,25,30,31,1,18
76,2014-09-12,2,6,17,23,26,28,29,11,27
77,2014-09-19,3,13,15,16,28,30,36,32,35
78,2014-09-26,7,8,22,24,26,27,32,16,21
79,2014-10-03,2,12,15,16,20,32,35,6,11
80,2014-10-10,7,10,15,16,18,19,32,33,36
81,2014-10-17,5,10,11,22,28,30,33,9,18
82,2014-10-24,3,10,22,23,27,28,30,8,14
83,2014-10-31,13,15,18,25,26,27,36,4,19
84,2014-11-07,6,9,14,16,17,27,36,1,5
85,2014-11-14,10,13,14,21,25,26,37,2,34
86,2014-11-21,3,6,7,12,23,26,33,8,25
87,2014-11-28,3,4,5,19,21,23,31,7,22
88,2014-12-05,3,8,15,27,28,29,32,21,36
89,2014-12-12,1,4,20,21,29,30,35,2,7
90,2014-12-19,4,11,16,21,27,30,35,17,28
91,2014-12-26,2,7,11,12,19,21,30,8,35
92,2015-01-02,12,13,18,22,27,30,37,5,17
93,2015-01-09,2,8,9,12,15,30,31,5,28
94,2015-01-16,1,3,5,12,19,22,37,21,28
95,2015-01-23,3,6,7,14,19,28,30,2,33
96,2015-01-30,8,14,18,22,23,24,29,1,25
97,2015-02-06,8,13,19,21,30,32,36,3,33
98,2015-02-13,7,10,17,18,19,34,35,26,37
99,2015-02-20,2,11,19,31,32,33,37,10,29
100,2015-02-27,10,13,15,23,28,32,35,26,33
101,2015-03-06,1,5,9,22,25,34,36,3,6
102,2015-03-13,6,7,11,17,24,26,28,4,35
103,2015-03-20,2,15,21,23,26,30,35,11,25
104,2015-03-27,5,16,19,20,24,26,37,2,27
105,2015-04-03,2,10,12,29,32,33,35,26,31
106,2015-04-10,1,6,11,15,20,22,26,5,19
107,2015-04-17,2,9,13,17,23,35,37,11,21
108,2015-04-24,11,14,17,19,25,29,33,23,31
109,2015-05-01,4,20,21,22,25,26,34,30,31
110,2015-05-08,3,9,16,19,21,22,31,1,4
111,2015-05-15,7,13,19,28,29,30,35,15,16
112,2015-05-22,14,18,19,21,23,24,30,17,32
113,2015-05-29,12,14,17,19,26,31,36,15,18
114,2015-06-05,1,8,18,19,23,28,37,9,36
115,2015-06-12,2,4,5,7,18,22,31,3,26
116,2015-06-19,4,6,14,21,27,28,33,19,22
117,2015-06-26,1,4,15,24,25,31,37,18,22
118,2015-07-03,10,14,17,18,19,25,31,1,13
119,2015-07-10,6,11,14,15,17,23,36,19,21
120,2015-07-17,8,11,12,17,26,30,35,1,5
121,2015-07-24,6,18,20,25,26,27,29,7,31
122,2015-07-31,7,12,17,19,25,32,35,21,23
123,2015-08-07,4,5,7,27,30,33,37,3,26
124,2015-08-14,5,6,11,23,28,29,35,2,12
